ax,ay,az,omega_x,omega_y,omega_z
0.20907,0.25932,9.6395,-0.0002,-0.0034,-0.0033
0.22941,0.25842,9.6562,0.0015,-0.0023,-0.0043
0.19711,0.25753,9.6655,-0.0026,-0.0063,-0.003
0.21505,0.25932,9.6401,-0.0005,-0.0046,-0.0052
0.21655,0.25334,9.6284,0.0001,-0.0034,-0.0025
0.21894,0.25244,9.6428,0.0001,-0.0046,-0.0055
0.21745,0.25484,9.6251,-0.0013,-0.0045,-0.0068
0.20578,0.2662,9.6464,-0.0022,-0.0045,-0.0063
0.21386,0.25364,9.6374,-0.0009,-0.0042,-0.0023
0.22822,0.25484,9.6488,-0.0008,-0.0025,-0.0036
0.21176,0.25783,9.6485,-0.0021,-0.0038,-0.0031
0.22403,0.25484,9.6509,-0.0016,-0.0028,-0.0048
0.20847,0.24706,9.6365,0.0002,-0.0137,-0.0032
0.2004,0.27218,9.6419,0.0007,-0.0045,-0.0051
0.2004,0.25454,9.6224,-0.0001,-0.0044,-0.0043
0.20489,0.24497,9.6503,-0.0004,-0.0026,-0.0026
0.20997,0.24467,9.6299,0.0005,-0.004,-0.0056
0.22403,0.26979,9.6434,0.001,-0.0054,-0.0072
0.21655,0.26859,9.6446,-0.0024,-0.0032,-0.0034
0.21835,0.26321,9.6248,-0.0003,-0.0048,-0.005
0.24646,0.26171,9.6559,-0.0023,-0.0037,-0.0055
0.22164,0.23838,9.6503,0.0005,-0.0032,-0.0059
0.22223,0.26022,9.623,-0.0013,-0.0044,-0.0057
0.22074,0.25484,9.661,-0.001,-0.0056,-0.0045
0.20668,0.25753,9.6485,-0.0013,-0.0033,-0.0027
0.23031,0.24257,9.6377,0.0001,-0.0027,-0.0039
0.21087,0.25334,9.6523,-0.0005,-0.0038,-0.0049
0.21745,0.2668,9.6497,-0.0002,-0.0037,-0.0058
0.21745,0.26321,9.6401,-0.0011,-0.0039,-0.005
0.22253,0.26411,9.6526,0.0017,-0.0053,-0.0037
0.18156,0.24467,9.6302,0.0003,-0.0037,-0.0051
0.19771,0.2656,9.6407,0.0014,-0.004,-0.004
0.21954,0.26321,9.644,-0.0024,-0.0064,-0.0037
0.20758,0.25304,9.6559,-0.0027,-0.0045,-0.0036
0.24138,0.25962,9.6437,-0.0016,-0.0042,-0.0044
0.20967,0.26112,9.6562,-0.0003,-0.0044,-0.0037
0.22672,0.25334,9.6517,0.0002,-0.0054,-0.0039
0.19382,0.25992,9.655,-0.0007,-0.0029,-0.0052
0.21386,0.25573,9.6299,0.0002,-0.0037,-0.0038
0.21296,0.25633,9.6314,-0.0013,-0.0062,-0.0052
0.23121,0.24018,9.6356,-0.0024,-0.0041,-0.0065
0.19711,0.26082,9.6547,0.0005,-0.0048,-0.0035
0.22552,0.24766,9.6529,-0.0005,-0.0045,-0.003
0.21446,0.26112,9.6401,-0.0008,-0.0037,-0.0036
0.2001,0.24676,9.6197,-0.0009,-0.0033,-0.0029
0.22373,0.25214,9.6431,-0.003,-0.0028,-0.004
0.20399,0.27188,9.6275,-0.0024,-0.0066,-0.0046
0.20219,0.25125,9.644,-0.0003,-0.0033,-0.0057
0.22343,0.27787,9.6377,-0.0005,-0.0063,-0.0036
0.22463,0.23689,9.6269,-0.0013,-0.0036,-0.005
0.19382,0.25753,9.641,-0.0017,-0.0016,-0.0045
0.21805,0.25035,9.6637,-0.0005,-0.0043,-0.0037
